Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1930,Al Lopez,Robins,128,466,0.354,91,0.6,-5.8,5.9,1.5,21,1007751
1932,Al Lopez,Dodgers,126,444,0.318,88,0.5,-6.6,3.9,1.1,23,1007751
1931,Al Lopez,Robins,111,392,0.308,79,0.1,-10.7,1.2,0.3,22,1007751
1928,Al Lopez,Robins,3,12,0,-100,0,-3.4,0.1,-0.3,19,1007751
1962,Al Luplow,Indians,97,362,0.371,125,0.3,11.7,-1.3,2.1,23,1007842
1961,Al Luplow,Indians,5,20,0.116,-36,0,-3.4,-0.3,-0.3,22,1007842
1930,Al Mahon,Athletics,3,2,0.374,108,0,0,0.1,0,20,1007989
1914,Al Mamaux,Pirates,13,20,0.262,61,0,-0.9,1.1,0.1,20,1008049
1917,Al Mamaux,Pirates,16,33,0.234,43,-0.2,-2.1,1.4,0,23,1008049
1916,Al Mamaux,Pirates,45,115,0.225,39,-0.2,-7.2,5.2,0.2,22,1008049
1915,Al Mamaux,Pirates,38,100,0.18,10,-1.5,-10.9,4.3,-0.4,21,1008049
1913,Al Mamaux,Pirates,1,1,0,-98,0,-0.2,0.1,0,19,1008049
1887,Al Maul,Quakers,16,71,0.432,148,-0.6,5.2,-1.5,0.5,21,1008273
1889,Al Maul,Alleghenys,68,289,0.359,116,0,7.5,0.2,1.7,23,1008273
1888,Al Maul,Alleghenys,74,283,0.266,92,-1.7,-5,-4,0.2,22,1008273
1884,Al Maul,Keystones,1,4,0,-47,0,-0.8,0,-0.1,18,1008273
1887,Al Mays,Metropolitans,62,232,0.263,63,-0.6,-15.4,-1.6,-0.5,22,1008311
1885,Al Mays,Colonels,17,63,0.235,67,0,-3,1.7,0.1,20,1008311
1886,Al Mays,Metropolitans,41,141,0.162,27,-0.2,-15.7,4.9,-0.5,21,1008311
1888,Al Mays,Bridegrooms,18,69,0.15,20,-0.1,-7.7,-0.1,-0.5,23,1008311
1961,Al McBean,Pirates,28,16,0.319,91,0,-0.2,1.2,0.2,23,1008337
1884,Al McCauley,Hoosiers,17,67,0.301,109,0,0.9,-2.2,0.1,21,1008384
1935,Al McLean,Senators,4,2,0,-100,0,-0.6,0.1,0,22,1008621
1875,Al Metcalf,Mutuals,8,32,0.203,74,0.5,-0.9,-0.9,-0.1,22,1008803
1936,Al Milnar,Indians,4,10,0.281,49,0,-0.8,0.7,0,22,1008962
1941,Al Montgomery,Braves,42,63,0.277,64,0,-2.6,0.9,0,20,1009069
1926,Al Moore,Giants,28,90,0.258,45,0.4,-5.7,0.4,-0.3,23,1009086
1925,Al Moore,Giants,2,9,0.187,-3,-0.4,-1.7,-0.1,-0.1,22,1009086
1884,Al Myers,Brewers,12,46,0.352,-100,0,-19.4,1.2,-1.4,20,1009416
1886,Al Myers,Cowboys,118,495,0.324,100,-3.3,-3.2,-7.8,0.7,22,1009416
1887,Al Myers,Nationals,105,404,0.298,84,-2.8,-13.7,-0.9,0,23,1009416
1885,Al Myers,Quakers,93,368,0.229,70,0,-15.5,3.7,0.2,21,1009416
1949,Al Naples,Browns,2,7,0.189,-7,0,-1,0.1,-0.1,22,1009447
1960,Al Neiger,Phillies,6,2,0.453,184,0,0.2,0.1,0,21,1009488
1934,Al Niemiec,Red Sox,9,38,0.25,34,0,-3.5,1.3,-0.1,23,1009591
1969,Al Oliver,Pirates,129,502,0.345,115,-0.1,8.7,-2.9,2.4,22,1009773
1970,Al Oliver,Pirates,151,609,0.327,97,0,-2.1,-1.7,1.7,23,1009773
1968,Al Oliver,Pirates,4,8,0.113,-29,0,-1,0.9,0,21,1009773
1980,Al Olmsted,Cardinals,5,13,0.165,-8,0,-1.6,1,0,23,1009785
1895,Al Orth,Phillies,11,48,0.4,119,-0.4,1.2,1.4,0.4,22,1009857
1896,Al Orth,Phillies,25,85,0.312,74,-0.2,-3.7,3,0.2,23,1009857
1986,Al Pardo,Orioles,16,51,0.155,-11,0,-6.8,-0.4,-0.6,23,1009990
1985,Al Pardo,Orioles,34,78,0.148,-14,0,-10.7,-2.7,-1.1,22,1009990
1913,Al Platte,Tigers,9,20,0.162,-8,-0.1,-2.5,-1.2,-0.3,23,1010391
1871,Al Pratt,Forest Citys,29,131,0.294,92,0.3,-2.3,-1.4,0.1,22,1010511
1872,Al Pratt,Forest Citys,16,65,0.272,88,0.2,-1.6,-2.3,-0.1,23,1010511
1932,Al Reiss,Athletics,9,6,0.276,54,0,-0.4,0.4,0,23,1010820
1947,Al Rosen,Indians,7,9,0.104,-49,0,-1.6,0,-0.1,23,1011208
1971,Al Santorini,- - -,37,15,0.304,91,0,-0.1,1,0.2,23,1011444
1969,Al Santorini,Padres,32,68,0.14,-15,0,-9,5.2,-0.2,21,1011444
1970,Al Santorini,Padres,21,19,0.037,-81,0,-4.3,1.5,-0.2,22,1011444
1890,Al Sauters,Athletics,14,52,0.24,49,-0.6,-4.6,-0.7,-0.3,21,1011464
1912,Al Schulz,Highlanders,3,7,0.215,19,-0.1,-0.7,0.4,0,23,1011623
1955,Al Silvera,Redlegs,13,7,0.13,-35,0,-1.2,0,-0.1,19,1011970
1925,Al Simmons,Athletics,153,696,0.455,151,-3.2,46.9,1.2,6.8,23,1011978
